descreveExamePK,dataPK,hospitalPK,idadePK,quantidadeExames
205,20100724,205,36,10
206,20100725,206,35,3
207,20100726,207,34,6
208,20100727,208,33,5
209,20100728,209,32,10
210,20100729,210,31,6
211,20100730,211,30,2
212,20100731,212,28,1
213,20100801,213,27,2
214,20100802,214,26,5
215,20100803,215,25,8
216,20100804,216,24,8
217,20100805,217,24,7
218,20100806,218,23,1
219,20100807,219,22,9
220,20100808,220,21,7
221,20100809,221,20,7
222,20100810,222,19,5
223,20100811,223,18,3
224,20100812,224,17,7
225,20100813,225,15,8
226,20100814,226,14,7
227,20100815,227,13,1
228,20100816,228,12,7
229,20100817,229,12,1
230,20100818,230,11,5
231,20100819,231,10,2
232,20100820,232,9,2
233,20100821,233,8,9
234,20100822,234,7,9
235,20100823,235,6,7
236,20100824,236,5,7
237,20100825,237,3,4
238,20100826,238,2,3
239,20100827,239,1,1
240,20100828,240,0,5
241,20100829,241,0,8
242,20100830,242,120,7
243,20100831,243,119,5
244,20100901,244,118,8
245,20100902,245,117,7
246,20100903,246,116,4
247,20100904,247,115,7
248,20100905,248,114,7
249,20100906,249,112,10
250,20100907,250,111,5
251,20100908,251,110,5
252,20100909,252,109,7
253,20100910,253,109,8
254,20100911,254,108,5
255,20100912,255,107,10
256,20100913,256,106,3
257,20100914,257,105,8
258,20100915,258,104,7
259,20100916,259,103,9
260,20100917,260,102,1
261,20100918,261,100,10
262,20100919,262,99,3
263,20100920,263,98,10
264,20100921,264,97,10
265,20100922,265,97,5
266,20100923,266,96,8
267,20100924,267,95,9
268,20100925,268,94,5
269,20100926,269,93,5
270,20100927,270,92,4
271,20100928,271,91,6
272,20100929,272,89,6
273,20100930,273,88,8
274,20101001,274,87,1
275,20101002,275,86,4
276,20101003,276,85,8
277,20101004,277,85,6
278,20101005,278,84,4
279,20101006,279,83,8
280,20101007,280,82,1
281,20101008,281,81,10
282,20101009,282,80,2
283,20101010,283,79,3
284,20101011,284,78,4
285,20101012,285,76,4
286,20101013,286,75,7
287,20101014,287,74,5
288,20101015,288,73,10
289,20101016,289,73,4
290,20101017,290,72,4
291,20101018,291,71,8
292,20101019,292,70,1
293,20101020,293,69,8
294,20101021,294,68,6
295,20101022,295,67,9
296,20101023,296,66,6
297,20101024,297,64,9
298,20101025,298,63,5
299,20101026,299,62,4
300,20101027,300,61,2
301,20101028,301,61,4
302,20101029,302,60,3
303,20101030,303,59,6
304,20101031,304,58,5
305,20101101,305,57,1
306,20101102,306,56,5
307,20101103,307,55,1
308,20101104,308,54,10
309,20101105,309,52,4
310,20101106,310,51,7
311,20101107,311,50,5
312,20101108,312,49,7
313,20101109,313,49,10
314,20101110,314,48,9
315,20101111,315,47,5
316,20101112,316,46,2
317,20101113,317,45,1
318,20101114,318,44,3
319,20101115,319,43,5
320,20101116,320,42,7
321,20101117,321,40,1
322,20101118,322,39,6
323,20101119,323,38,6
324,20101120,324,37,1
325,20101121,325,37,9
326,20101122,326,36,1
327,20101123,327,35,3
328,20101124,328,34,10
329,20101125,329,33,3
330,20101126,330,32,2
331,20101127,331,31,6
332,20101128,332,29,2
333,20101129,333,28,6
334,20101130,334,27,9
335,20101201,335,26,3
336,20101202,336,25,4
337,20101203,337,25,8
338,20101204,338,24,4
339,20101205,339,23,5
340,20101206,340,22,1
341,20101207,341,21,1
342,20101208,342,20,10
343,20101209,343,19,5
344,20101210,344,18,9
345,20101211,345,16,5
346,20101212,346,15,3
347,20101213,347,14,1
348,20101214,348,13,10
349,20101215,349,13,9
350,20101216,350,12,1
351,20101217,351,11,5
352,20101218,352,10,3
353,20101219,353,9,6
354,20101220,354,8,7
355,20101221,355,7,3
356,20101222,356,6,3
357,20101223,357,4,8
358,20101224,358,3,10
359,20101225,359,2,8
360,20101226,360,1,3
361,20101227,361,1,6
362,20101228,362,0,8
363,20101229,363,120,7
364,20101230,364,119,5
365,20101231,365,118,1
366,20110101,366,117,10
367,20110102,367,116,8
368,20110103,368,115,8
369,20110104,369,113,8
370,20110105,370,112,1
371,20110106,371,111,3
372,20110107,372,110,2
373,20110108,373,110,2
374,20110109,374,109,4
375,20110110,375,108,7
376,20110111,376,107,1
377,20110112,377,106,2
378,20110113,378,105,5
379,20110114,379,104,2
380,20110115,380,103,3
381,20110116,381,101,10
382,20110117,382,100,8
383,20110118,383,99,8
384,20110119,384,98,9
385,20110120,385,98,8
386,20110121,386,97,4
387,20110122,387,96,1
388,20110123,388,95,3
389,20110124,389,94,8
390,20110125,390,93,5
391,20110126,391,92,6
392,20110127,392,90,4
393,20110128,393,89,7
394,20110129,394,88,10
395,20110130,395,87,1
396,20110131,396,86,4
397,20110201,397,86,10
398,20110202,398,85,4
399,20110203,399,84,1
400,20110204,400,83,9
401,20110205,401,82,3
402,20110206,402,81,9
403,20110207,403,80,1
404,20110208,404,79,1
405,20110209,405,77,9
406,20110210,406,76,10
407,20110211,407,75,6
408,20110212,408,74,2
409,20110213,409,74,5
410,20110214,410,73,10
411,20110215,411,72,7
412,20110216,412,71,2
413,20110217,413,70,6
414,20110218,414,69,9
415,20110219,415,68,5
416,20110220,416,67,8
417,20110221,417,65,9
418,20110222,418,64,6
419,20110223,419,63,5
420,20110224,420,62,9
421,20110225,421,62,9
422,20110226,422,61,8
423,20110227,423,60,2
424,20110228,424,59,5
425,20110301,425,58,4
426,20110302,426,57,2
427,20110303,427,56,2
428,20110304,428,55,5
429,20110305,429,53,7
430,20110306,430,52,6
431,20110307,431,51,3
432,20110308,432,50,9
433,20110309,433,50,7
434,20110310,434,49,2
435,20110311,435,48,10
436,20110312,436,47,1
437,20110313,437,46,5
438,20110314,438,45,2
439,20110315,439,44,9
440,20110316,440,43,2
441,20110317,441,41,1
442,20110318,442,40,2
443,20110319,443,39,4
444,20110320,444,38,7
445,20110321,445,38,6
446,20110322,446,37,5
447,20110323,447,36,10
448,20110324,448,35,1
449,20110325,449,34,4
450,20110326,450,33,3
451,20110327,451,32,7
452,20110328,452,30,10
453,20110329,453,29,3
454,20110330,454,28,9
455,20110331,455,27,3
456,20110401,456,26,2
457,20110402,457,26,8
458,20110403,458,25,5
459,20110404,459,24,8
460,20110405,460,23,5
461,20110406,461,22,10
462,20110407,462,21,10
463,20110408,463,20,7
464,20110409,464,19,2
465,20110410,465,17,2
466,20110411,466,16,2
467,20110412,467,15,3
468,20110413,468,14,1
469,20110414,469,14,2
470,20110415,470,13,3
471,20110416,471,12,5
472,20110417,472,11,8
473,20110418,473,10,4
474,20110419,474,9,10
475,20110420,475,8,1
476,20110421,476,7,2
477,20110422,477,5,4
478,20110423,478,4,8
479,20110424,479,3,7
480,20110425,480,2,8
481,20110426,481,2,5
482,20110427,482,1,9
483,20110428,483,0,6
484,20110429,484,120,10
485,20110430,485,119,6
486,20110501,486,118,9
487,20110502,487,117,9
488,20110503,488,116,10
489,20110504,489,114,7
490,20110505,490,113,6
491,20110506,491,112,1
492,20110507,492,111,3
493,20110508,493,111,1
494,20110509,494,110,6
495,20110510,495,109,8
496,20110511,496,108,1
497,20110512,497,107,8
498,20110513,498,106,9
499,20110514,499,105,9
500,20110515,500,104,3
501,20110516,501,102,7
502,20110517,502,101,8
503,20110518,503,100,7
504,20110519,504,99,2
505,20110520,505,99,6
506,20110521,506,98,1
507,20110522,507,97,1
508,20110523,508,96,2
509,20110524,509,95,1
510,20110525,510,94,8
511,20110526,511,93,7
512,20110527,512,91,1
513,20110528,513,90,1
514,20110529,514,89,5
515,20110530,515,88,9
516,20110531,516,87,1
517,20110601,517,87,5
518,20110602,518,86,8
519,20110603,519,85,1
520,20110604,520,84,6
521,20110605,521,83,7
522,20110606,522,82,3
523,20110607,523,81,2
524,20110608,524,80,10
525,20110609,525,78,5
526,20110610,526,77,1
527,20110611,527,76,7
528,20110612,528,75,5
529,20110613,529,75,4
530,20110614,530,74,6
531,20110615,531,73,9
532,20110616,532,72,10
533,20110617,533,71,2
534,20110618,534,70,8
535,20110619,535,69,3
536,20110620,536,68,2
537,20110621,537,66,2
538,20110622,538,65,3
539,20110623,539,64,7
540,20110624,540,63,5
541,20110625,541,63,5
542,20110626,542,62,6
543,20110627,543,61,10
544,20110628,544,60,5
545,20110629,545,59,8
546,20110630,546,58,9
547,20110701,547,57,4
548,20110702,548,56,1
549,20110703,549,54,10
550,20110704,550,53,6
551,20110705,551,52,6
552,20110706,552,51,5
553,20110707,553,51,3
554,20110708,554,50,2
555,20110709,555,49,6
556,20110710,556,48,7
557,20110711,557,47,6
558,20110712,558,46,3
559,20110713,559,45,2
560,20110714,560,44,9
561,20110715,561,42,9
562,20110716,562,41,9
563,20110717,563,40,9
564,20110718,564,39,6
565,20110719,565,39,9
566,20110720,566,38,10
567,20110721,567,37,5
568,20110722,568,36,3
569,20110723,569,35,5
570,20110724,570,34,5
571,20110725,571,33,6
572,20110726,572,31,2
573,20110727,573,30,1
574,20110728,574,29,5
575,20110729,575,28,5
576,20110730,576,27,3
577,20110731,577,27,1
578,20110801,578,26,1
579,20110802,579,25,3
580,20110803,580,24,10
581,20110804,581,23,2
582,20110805,582,22,5
583,20110806,583,21,10
584,20110807,584,20,4
585,20110808,585,18,2
586,20110809,586,17,4
587,20110810,587,16,1
588,20110811,588,15,2
589,20110812,589,15,8
590,20110813,590,14,9
591,20110814,591,13,6
592,20110815,592,12,9
593,20110816,593,11,9
594,20110817,594,10,2
595,20110818,595,9,5
596,20110819,596,8,5
597,20110820,597,6,5
598,20110821,598,5,6
599,20110822,599,4,4
600,20110823,600,3,2
601,20110824,601,3,3
602,20110825,602,2,6
603,20110826,603,1,5
604,20110827,604,0,4
605,20110828,605,120,4
606,20110829,606,119,9
607,20110830,607,118,3
608,20110831,608,117,1
609,20110901,609,115,1
610,20110902,610,114,8
611,20110903,611,113,9
612,20110904,612,112,10
613,20110905,613,112,3
614,20110906,614,111,9
615,20110907,615,110,10
616,20110908,616,109,8
617,20110909,617,108,7
618,20110910,618,107,4
619,20110911,619,106,1
620,20110912,620,105,10
621,20110913,621,103,4
622,20110914,622,102,7
623,20110915,623,101,8
624,20110916,624,100,3
625,20110917,625,100,8
626,20110918,626,99,9
627,20110919,627,98,4
628,20110920,628,97,4
629,20110921,629,96,9
630,20110922,630,95,3
631,20110923,631,94,6
632,20110924,632,92,6
633,20110925,633,91,1
634,20110926,634,90,7
635,20110927,635,89,8
636,20110928,636,88,7
637,20110929,637,88,6
638,20110930,638,87,5
639,20111001,639,86,5
640,20111002,640,85,6
641,20111003,641,84,10
642,20111004,642,83,8
643,20111005,643,82,3
644,20111006,644,81,8
645,20111007,645,79,4
646,20111008,1,78,4
647,20111009,2,77,3
648,20111010,3,76,8
649,20111011,4,76,1
650,20111012,5,75,8
651,20111013,6,74,4
652,20111014,7,73,4
653,20111015,8,72,8
654,20111016,9,71,3
655,20111017,10,70,1
656,20111018,11,69,3
657,20111019,12,67,10
658,20111020,13,66,2
659,20111021,14,65,4
660,20111022,15,64,3
661,20111023,16,64,1
662,20111024,17,63,2
663,20111025,18,62,4
664,20111026,19,61,1
665,20111027,20,60,3
666,20111028,21,59,7
667,20111029,22,58,10
668,20111030,23,57,7
669,20111031,24,55,2
670,20111101,25,54,8
671,20111102,26,53,8
672,20111103,27,52,10
673,20111104,28,52,8
674,20111105,29,51,3
675,20111106,30,50,6
676,20111107,31,49,6
677,20111108,32,48,8
678,20111109,33,47,10
679,20111110,34,46,8
680,20111111,35,45,10
681,20111112,36,43,5
682,20111113,37,42,3
683,20111114,38,41,5
684,20111115,39,40,5
685,20111116,40,40,1
686,20111117,41,39,9
687,20111118,42,38,10
688,20111119,43,37,8
689,20111120,44,36,7
690,20111121,45,35,9
691,20111122,46,34,5
692,20111123,47,32,5
693,20111124,48,31,9
694,20111125,49,30,4
695,20111126,50,29,5
696,20111127,51,28,6
697,20111128,52,28,8
698,20111129,53,27,6
699,20111130,54,26,1
700,20111201,55,25,6
701,20111202,56,24,6
702,20111203,57,23,4
703,20111204,58,22,8
704,20111205,59,21,9
705,20111206,60,19,4
706,20111207,61,18,10
707,20111208,62,17,8
708,20111209,63,16,2
709,20111210,64,16,3
710,20111211,65,15,5
711,20111212,66,14,6
712,20111213,67,13,9
713,20111214,68,12,1
714,20111215,69,11,4
715,20111216,70,10,6
716,20111217,71,9,10
717,20111218,72,7,7
718,20111219,73,6,1
719,20111220,74,5,10
720,20111221,75,4,5
721,20111222,76,4,7
722,20111223,77,3,2
723,20111224,78,2,7
724,20111225,79,1,3
725,20111226,80,0,7
726,20111227,81,120,10
727,20111228,82,119,10
728,20111229,83,118,4
729,20111230,84,116,2
730,20111231,85,115,8
731,20120101,86,114,8
732,20120102,87,113,2
733,20120103,88,113,10
734,20120104,89,112,7
735,20120105,90,111,8
736,20120106,91,110,9
737,20120107,92,109,9
738,20120108,93,108,4
739,20120109,94,107,9
740,20120110,95,106,5
741,20120111,96,104,1
742,20120112,97,103,4
743,20120113,98,102,7
744,20120114,99,101,2
745,20120115,100,101,3
746,20120116,101,100,9
747,20120117,102,99,10
748,20120118,103,98,6
749,20120119,104,97,5
750,20120120,105,96,6
751,20120121,106,95,3
752,20120122,107,93,1
753,20120123,108,92,4
754,20120124,109,91,8
755,20120125,110,90,8
756,20120126,111,89,5
757,20120127,112,89,2
758,20120128,113,88,5
759,20120129,114,87,4
760,20120130,115,86,7
761,20120131,116,85,1
762,20120201,117,84,10
763,20120202,118,83,1
764,20120203,119,82,3
765,20120204,120,80,10
766,20120205,121,79,6
767,20120206,122,78,9
768,20120207,123,77,5
769,20120208,124,77,2
770,20120209,125,76,8
771,20120210,126,75,9
772,20120211,127,74,3
773,20120212,128,73,9
774,20120213,129,72,7
775,20120214,130,71,7
776,20120215,131,70,8
777,20120216,132,68,4
778,20120217,133,67,2
779,20120218,134,66,1
780,20120219,135,65,4
781,20120220,136,65,9
782,20120221,137,64,4
783,20120222,138,63,5
784,20120223,139,62,1
785,20120224,140,61,1
786,20120225,141,60,9
787,20120226,142,59,6
788,20120227,143,58,5
789,20120228,144,56,4
790,20120229,145,55,6
791,20120301,146,54,5
792,20120302,147,53,1
793,20120303,148,53,9
794,20120304,149,52,10
795,20120305,150,51,10
796,20120306,151,50,10
797,20120307,152,49,5
798,20120308,153,48,9
799,20120309,154,47,2
800,20120310,155,46,2
801,20120311,156,44,2
802,20120312,157,43,6
803,20120313,158,42,8
804,20120314,159,41,8
805,20120315,160,41,9
806,20120316,161,40,3
807,20120317,162,39,7
808,20120318,163,38,9
809,20120319,164,37,7
810,20120320,165,36,1
811,20120321,166,35,10
812,20120322,167,33,6
813,20120323,168,32,10
814,20120324,169,31,7
815,20120325,170,30,10
816,20120326,171,29,3
817,20120327,172,29,6
818,20120328,173,28,5
819,20120329,174,27,2
820,20120330,175,26,5
821,20120331,176,25,1
822,20120401,177,24,9
823,20120402,178,23,8
824,20120403,179,22,10
825,20120404,180,20,4
826,20120405,181,19,7
827,20120406,182,18,1
828,20120407,183,17,10
829,20120408,184,17,5
830,20120409,185,16,9
831,20120410,186,15,9
832,20120411,187,14,2
833,20120412,188,13,10
834,20120413,189,12,8
835,20120414,190,11,3
836,20120415,191,10,10
837,20120416,192,8,4
838,20120417,193,7,1
839,20120418,194,6,7
840,20120419,195,5,7
841,20120420,196,5,2
842,20120421,197,4,10
843,20120422,198,3,9
844,20120423,199,2,8
845,20120424,200,1,10
846,20120425,201,0,3
847,20120426,202,120,5
848,20120427,203,119,9
849,20120428,204,117,10
850,20120429,205,116,7
851,20120430,206,115,4
852,20120501,207,114,8
853,20120502,208,114,8
854,20120503,209,113,2
855,20120504,210,112,10
856,20120505,211,111,7
857,20120506,212,110,6
858,20120507,213,109,3
859,20120508,214,108,8
860,20120509,215,107,10
861,20120510,216,105,5
862,20120511,217,104,2
863,20120512,218,103,2
864,20120513,219,102,8
865,20120514,220,102,7
866,20120515,221,101,9
867,20120516,222,100,4
868,20120517,223,99,6
869,20120518,224,98,5
870,20120519,225,97,10
871,20120520,226,96,7
872,20120521,227,94,4
873,20120522,228,93,7
874,20120523,229,92,9
875,20120524,230,91,2
876,20120525,231,90,2
877,20120526,232,90,2
878,20120527,233,89,10
879,20120528,234,88,9
880,20120529,235,87,4
881,20120530,236,86,3
882,20120531,237,85,4
883,20120601,238,84,6
884,20120602,239,83,6
885,20120603,240,81,8
886,20120604,241,80,7
887,20120605,242,79,3
888,20120606,243,78,8
889,20120607,244,78,9
890,20120608,245,77,3
891,20120609,246,76,10
892,20120610,247,75,10
893,20120611,248,74,9
894,20120612,249,73,8
895,20120613,250,72,7
896,20120614,251,71,7
897,20120615,252,69,9
898,20120616,253,68,10
899,20120617,254,67,1
900,20120618,255,66,5
901,20120619,256,66,1
902,20120620,257,65,4
903,20120621,258,64,1
904,20120622,259,63,6
905,20120623,260,62,5
906,20120624,261,61,7
907,20120625,262,60,10
908,20120626,263,59,3
909,20120627,264,57,9
910,20120628,265,56,7
911,20120629,266,55,7
912,20120630,267,54,2
913,20120701,268,54,2
914,20120702,269,53,7
915,20120703,270,52,3
916,20120704,271,51,10
917,20120705,272,50,6
918,20120706,273,49,4
919,20120707,274,48,2
920,20120708,275,47,6
921,20120709,276,45,6
922,20120710,277,44,3
923,20120711,278,43,3
924,20120712,279,42,8
925,20120713,280,42,8
926,20120714,281,41,8
927,20120715,282,40,9
928,20120716,283,39,8
929,20120717,284,38,9
930,20120718,285,37,3
931,20120719,286,36,1
932,20120720,287,34,3
933,20120721,288,33,7
934,20120722,289,32,5
935,20120723,290,31,7
936,20120724,291,30,5
937,20120725,292,30,10
938,20120726,293,29,5
939,20120727,294,28,6
940,20120728,295,27,7
941,20120729,296,26,6
942,20120730,297,25,1
943,20120731,298,24,6
944,20120801,299,23,4
945,20120802,300,21,10
946,20120803,301,20,6
947,20120804,302,19,8
948,20120805,303,18,3
949,20120806,304,18,4
950,20120807,305,17,8
951,20120808,306,16,5
952,20120809,307,15,6
953,20120810,308,14,4
954,20120811,309,13,7
955,20120812,310,12,4
956,20120813,311,11,9
957,20120814,312,9,7
958,20120815,313,8,1
959,20120816,314,7,2
960,20120817,315,6,8
961,20120818,316,6,3
962,20120819,317,5,4
963,20120820,318,4,7
964,20120821,319,3,6
965,20120822,320,2,4
966,20120823,321,1,2
967,20120824,322,0,10
968,20120825,323,120,2
969,20120826,324,118,10
970,20120827,325,117,7
971,20120828,326,116,1
972,20120829,327,115,3
973,20120830,328,115,2
974,20120831,329,114,8
975,20120901,330,113,1
976,20120902,331,112,4
977,20120903,332,111,8
978,20120904,333,110,6
979,20120905,334,109,9
980,20120906,335,108,3
981,20120907,336,106,9
982,20120908,337,105,6
983,20120909,338,104,1
984,20120910,339,103,3
985,20120911,340,103,1
986,20120912,341,102,10
987,20120913,342,101,2
988,20120914,343,100,3
989,20120915,344,99,4
990,20120916,345,98,9
991,20120917,346,97,9
992,20120918,347,95,9
993,20120919,348,94,4
994,20120920,349,93,8
995,20120921,350,92,3
996,20120922,351,91,9
997,20120923,352,91,1
998,20120924,353,90,6
999,20120925,354,89,3
1000,20120926,355,88,3
1001,20120927,356,87,1
1002,20120928,357,86,2
1003,20120929,358,85,7
1004,20120930,359,84,2
1005,20121001,360,82,4
1006,20121002,361,81,7
1007,20121003,362,80,9
1008,20121004,363,79,10
1009,20121005,364,79,1
1010,20121006,365,78,9
1011,20121007,366,77,6
1012,20121008,367,76,1
1013,20121009,368,75,7
1014,20121010,369,74,3
1015,20121011,370,73,2
1016,20121012,371,72,10
1017,20121013,372,70,4
1018,20121014,373,69,4
1019,20121015,374,68,10
1020,20121016,375,67,2
1021,20121017,376,67,9
1022,20121018,377,66,10
1023,20121019,378,65,4
1024,20121020,379,64,6
1025,20121021,380,63,10
1026,20121022,381,62,3
1027,20121023,382,61,3
1028,20121024,383,60,4
1029,20121025,384,58,5
1030,20121026,385,57,6
1031,20121027,386,56,2
1032,20121028,387,55,3
1033,20121029,388,55,10
1034,20121030,389,54,10
1035,20121031,390,53,3
1036,20121101,391,52,8
1037,20121102,392,51,1
1038,20121103,393,50,3
1039,20121104,394,49,3
1040,20121105,395,48,10
1041,20121106,396,46,6
1042,20121107,397,45,9
1043,20121108,398,44,9
1044,20121109,399,43,3
1045,20121110,400,43,10
1046,20121111,401,42,1
1047,20121112,402,41,8
1048,20121113,403,40,4
1049,20121114,404,39,9
1050,20121115,405,38,2
1051,20121116,406,37,9
1052,20121117,407,35,4
1053,20121118,408,34,8
1054,20121119,409,33,2
1055,20121120,410,32,5
1056,20121121,411,31,8
1057,20121122,412,31,6
1058,20121123,413,30,5
1059,20121124,414,29,10
1060,20121125,415,28,8
1061,20121126,416,27,5
1062,20121127,417,26,6
1063,20121128,418,25,4
1064,20121129,419,24,2
1065,20121130,420,22,7
1066,20121201,421,21,1
1067,20121202,422,20,10
1068,20121203,423,19,6
1069,20121204,424,19,8
1070,20121205,425,18,3
1071,20121206,426,17,4
1072,20121207,427,16,2
1073,20121208,428,15,8
1074,20121209,429,14,6
1075,20121210,430,13,8
1076,20121211,431,12,8
1077,20121212,432,10,6
1078,20121213,433,9,1
1079,20121214,434,8,1
1080,20121215,435,7,10
1081,20121216,436,7,1
1082,20121217,437,6,8
1083,20121218,438,5,4
1084,20121219,439,4,7
1085,20121220,440,3,1
1086,20121221,441,2,2
1087,20121222,442,1,2
1088,20121223,443,0,10
1089,20121224,444,119,3
1090,20121225,445,118,6
1091,20121226,446,117,5
1092,20121227,447,116,6
1093,20121228,448,116,3
1094,20121229,449,115,8
1095,20121230,450,114,4
1096,20121231,451,113,9
1097,20130101,452,112,3
1098,20130102,453,111,9
1099,20130103,454,110,9
1100,20130104,455,109,5
1101,20130105,456,107,8
1102,20130106,457,106,6
1103,20130107,458,105,6
1104,20130108,459,104,5
1105,20130109,460,104,4
1106,20130110,461,103,1
1107,20130111,462,102,5
1108,20130112,463,101,6
1109,20130113,464,100,7
1110,20130114,465,99,4
1111,20130115,466,98,5
1112,20130116,467,96,9
1113,20130117,468,95,8
1114,20130118,469,94,2
1115,20130119,470,93,9
1116,20130120,471,92,10
1117,20130121,472,92,3
1118,20130122,473,91,10
1119,20130123,474,90,10
1120,20130124,475,89,5
1121,20130125,476,88,2
1122,20130126,477,87,3
1123,20130127,478,86,4
1124,20130128,479,85,7
1125,20130129,480,83,10
1126,20130130,481,82,10
1127,20130131,482,81,4
1128,20130201,483,80,1
1129,20130202,484,80,9
1130,20130203,485,79,8
1131,20130204,486,78,2
1132,20130205,487,77,1
1133,20130206,488,76,3
1134,20130207,489,75,3
1135,20130208,490,74,8
1136,20130209,491,73,9
1137,20130210,492,71,4
1138,20130211,493,70,4
1139,20130212,494,69,7
1140,20130213,495,68,5
1141,20130214,496,68,8
1142,20130215,497,67,7
1143,20130216,498,66,9
1144,20130217,499,65,4
1145,20130218,500,64,7
1146,20130219,501,63,4
1147,20130220,502,62,10
1148,20130221,503,61,7
